Section,Subsection,Key,Value
IPI,,1. OBV Slope (Velocity),หาความต่างของ OBV ปัจจุบัน (OBV_t) เทียบกับแท่งก่อนหน้า (OBV_t-1) แล้วทำ Normalization ให้อยู่ในช่วง -1 ถึง 1 โดยหารด้วยค่าเบี่ยงเบนมาตรฐานของ Slope ย้อนหลัง 50 แท่ง
IPI,,2. IPI Score & Validity,IPI = (CMF * 100) + (RVOL_Deviation * 0.5) + (Norm_OBV_Slope * 50) | คะแนน IPI จะคำนวณเฉพาะแท่ง RTH ที่มี RVOL_slot > 0.3 เท่านั้น หากเป็นนอกเวลา RTH จะได้สถานะ 'N/A (ext)' และหากวอลุ่มเบาบางจะได้สถานะ 'N/A (low vol)'
IPI,,3. Classification (สถานะ),ถ้า IPI > 50: 'Institutional Accumulation' (เทียบเท่าแท่งแดง) | ถ้า -20 <= IPI <= 50: 'Neutral' (เทียบเท่าแท่งเหลือง) | ถ้า IPI < -20: 'Institutional Distribution' (เทียบเท่าแท่งเขียว)
IPI,,4. Dynamic Session Scaling,ในกราฟ 1D/1W จะไม่มีการสร้างแท่งวันหยุด และในวันที่ปิดเร็ว (Early Close เช่น 13:00 ET) หรือสัปดาห์ที่มีวันหยุด RVOL จะถูกหารด้วยอัตราส่วนเวลาเปิดตลาดจริง (minutes/390 สำหรับวัน หรือ minutes/1950 สำหรับสัปดาห์) เพื่อไม่ให้เกิดปัญหาวอลุ่มเบาบางหลอกระบบ
IFI,,Institutional Flow Index (IFI),เพื่อจำลองผลลัพธ์แบบเดียวกับอินดิเคเตอร์ SmartMCDX โดยใช้ตรรกะดังนี้:
IFI,,1. Raw Money Flow,คำนวณค่า Raw_Flow = ((Close - Open) / Close) * Volume
IFI,,2. Smooth Signal (IFI_Score),นำค่า Raw_Flow มาคำนวณ Exponential Moving Average (EMA) ช่วง 14 แท่งเทียน จะได้ค่า IFI_Score
IFI,,3. Threshold & Classification,คำนวณค่าเฉลี่ย (Mean) และส่วนเบี่ยงเบนมาตรฐาน (SD) ย้อนหลัง 50 แท่ง ของ IFI_Score. โซนสีแดง รายใหญ่ (Smart Money): IFI_Score > Mean + 0.5 * StdDev | โซนสีเขียว รายย่อย (Distribution): IFI_Score < Mean - 0.5 * StdDev | โซนสีเหลือง (Neutral): อยู่ระหว่างนั้น
UIPT,,Ultra Institutional Pivot Trigger (UIPT),"ระบบเทรดครบวงจรที่ผสานไทม์เฟรม 1W, 1D, 4H, 1H เพื่อสแกนระดับมหภาคและยิงออเดอร์แม่นยำ"
UIPT,Phase 1,Core Engine (แกนกลางสมการ),ใช้ IPI Score = (CMF*100) + (RVOL_Deviation*0.5) + (Norm_OBV_Slope*50) แบ่งเป็น Score > 50: Accumulation | -20 ถึง 50: Neutral | < -20: Distribution. ร่วมกับเงื่อนไข Volume Anomaly (RVOL Deviation > 50%) และ Momentum Validation (OBV Slope > 0 ต่อเนื่อง 2 แท่ง)
UIPT,Phase 2,Long-Term UIPT (The Macro Filter),"สแกนหาเม็ดเงินสถาบัน (1W, 1D): ราคา Close ของ 1W/1D ต้อง > EMA 50 และ EMA 50 > EMA 200 (Golden Cross). ค่า 1W CMF > 0 ต่อเนื่อง. สถานะ 1W IPI = Institutional Accumulation. *Kill Switch*: บล็อกการเทรดทันทีถ้า 1W หรือ 1D แสดงสถานะ Institutional Distribution"
UIPT,Phase 3,Medium-Term UIPT (The Setup Window),"หาจุดย่อตัว (1D, 4H): ราคา 1D ย่อทดสอบโซน EMA 20 หรือ EMA 50 (ห้ามหลุด 200). 1D/4H RSI พักตัวที่กรอบ 40-60 (เคลียร์ Overbought). สถานะ 4H IPI สามารถพักเป็น Neutral ได้ แต่ 1D CMF ต้อง > 0 ยืนยันโครงสร้างหลัก"
UIPT,Phase 4,Short-Term UIPT (The Sniper Trigger),จุดยิงออเดอร์ (1H): ราคา 1H ตัดข้ามหรือเด้งจาก VWAP. 1H RVOL Deviation > 50% (มีวอลุ่มหนาแน่น). 1H OBV Slope > 0. สถานะ 1H IPI พลิกจาก Neutral เป็น Institutional Accumulation อีกครั้ง
UIPT,Execution,Top-Down Approach,1. Macro Check (1W/1D) เข้า Watchlist -> 2. Setup Check (1D/4H) ย่อตัวและพัก RSI สแตนด์บาย Ready -> 3. Trigger Check (1H) ยิงออเดอร์เมื่อวอลุ่มกระชากเหนือ VWAP -> 4. Exit/Cut Loss บังคับปิดทันทีถ้า 1D CMF พลิกเป็นลบ หรือ 1D IPI แจ้ง Distribution
UIPT_HORIZON,Layer0,Market Regime Gate (Mandatory Pre-Screen),"BEFORE any UIPT-S/M ranking, ALWAYS run Layer-0 in this order: (1) INDICES: SPY/NDX/IWM multi-TF CMF + GC status + breadth (% of universe with 1D GC, % 1D CMF>0, Kill count) — classify regime RISK-ON / SELECTIVE / RISK-OFF / TRANSITION. (2) VOLATILITY: VIX level+percentile, VIX9D/VIX (event premium), VIX/VIX3M (contango/backwardation), MOVE if available. (3) DOLLAR & RATES: DXY price-structure read (EMA stack 1D+1W, position vs EMA200W regime line, nearest trigger 101.8 breakout vs 100.0 rejection) + US10Y level vs 4.55 tripwire + USDTHB for cash. (4) COMMODITIES: Gold (weekly vs daily flow divergence, spec positioning if provided), WTI (vs $72 tripwire, geopolitics confirm/deny), BTC as speculative-liquidity thermometer. Output a REGIME LINE with confidence before showing any stock/ETF pick."
UIPT_HORIZON,Layer0,Sector Flow Map (Mandatory),"After regime, rank ALL sector ETFs in file (XLK XLF XLV XLU XLI XLE XLRE XBI SOXX SMH IGV SKYY CIBR ITA IWM PAVE FIW XME COPX UFO IYT XHB BOTZ ROBO etc.): 4-TF CMF matrix + RS-20d/60d vs SPY + weekly-vs-daily divergence flags (long money accumulating vs short money leaving). Identify: TOP-3 money-IN sectors, TOP-3 money-OUT sectors, and any leadership CHANGE vs prior run. Every UIPT stock pick must then be tagged with its sector's flow direction — a long signal in a money-OUT sector gets downgraded one rank and flagged 'fighting sector flow'; a signal aligned with a money-IN sector gets priority."
UIPT_HORIZON,Layer0,Regime-To-Permission Matrix,"Layer-0 output gates what UIPT may recommend: RISK-ON = full menu, normal sizing. SELECTIVE (indices up but breadth <50% or megacap Kill cluster) = only picks aligned with money-IN sectors, size normal, no chasing EXTENDED tags. TRANSITION (DXY/US10Y/WTI within 1% of a tripwire, or VIX9D event premium at extreme percentile) = half size everything, prefer COILED over TRIGGERING, no new M entries within 3 days of a scheduled binary event (CPI/FOMC). RISK-OFF (tripwire fired / breadth collapse / VIX backwardation) = NO new longs, output defensive checklist only (trim list, hedge status, cash plan). State which permission level is active at the top of every output."
UIPT_HORIZON,Layer0,Output Order,"Mandatory output sequence for every UIPT run: [1] REGIME LINE (risk state + confidence + what changed since last run), [2] DXY STRUCTURE + THB CASH (per existing framework), [3] GOLD/OIL/BTC one-liners with tripwire distances, [4] SECTOR FLOW MAP (in/out/changes), [5] PERMISSION LEVEL, [6] only THEN the UIPT-S/M rankings — every pick tagged [sector-flow: IN/OUT/NEUTRAL]. A ranking shown without Layers 1-5 above it is an invalid output."
UIPT_HORIZON,Config,Horizon Parameters,"User may invoke screens with explicit horizons: 'UIPT-S xD' (short, x = 1-5 trading days, default 3D) and 'UIPT-M xW or xM' (medium, x = 1-8 weeks / 1-2 months, default 4W). x is fully user-definable per request; if omitted use defaults. x controls: signal-timeframe weights, stop width, target distance, time-stop, and which gates are mandatory. Any custom slice is allowed (e.g. UIPT-S 1D, UIPT-S 5D, UIPT-M 2W, UIPT-M 8W) — interpolate rules between the two nearest presets. Horizons shorter than 1D are NOT supported by this export (needs 5-15min data)."
UIPT_HORIZON,Short Mode,UIPT-S Signal Stack,"UIPT-S (1-5D): PRIMARY = 1H + 4H (score weights: 1H CMF/RVOL/OBV 50%, 4H 30%, 1D 20%); 1W used only as veto (1W Distribution proxy = exclude). Mandatory gates: price >= 1H EMA20, 1D CMF > 0 or rising 3 bars, no 1D Kill, median dollar-volume > $30M/day, RSI-1D between 45-70. Entry ONLY via live Phase-4 trigger (1H RTH close above VWAP + RVOL_Dev > 50% + OBV rising + IPI Accumulation). Stop = max(1.0-1.5 x daily ATR14, below trigger-bar low or pivot shelf). Targets: T1 = 1.5-2 x ATR or nearest swing high, T2 = 2.5-3.5 x ATR. TIME-STOP: if trade hasn't moved +0.5 x ATR in favor within ceil(x/2) trading days, exit at market — capital must rotate."
UIPT_HORIZON,Short Mode,About-To-Pop Coil Detector,"For UIPT-S ranking, score PRE-BREAKOUT COILS instead of extended movers: (a) price within 2% below a defined pivot (10-20 day swing high or flat-base top), (b) range contraction: ATR(5) < ATR(20) or 3+ narrow/inside bars, (c) flow loading: 1H or 4H CMF rising while price moves sideways (accumulation-into-coil divergence), (d) at least 1 valid ignition bar (1H IPI Accumulation + RVOL > 1.2) in last 15 bars, (e) volume dry-up on down bars. Rank = coil tightness x flow slope x pivot proximity. Tag every candidate: COILED (waiting for trigger) / TRIGGERING (Phase-4 firing now) / EXTENDED (> 1.5 x ATR past pivot = do not chase)."
UIPT_HORIZON,Medium Mode,UIPT-M Signal Stack,"UIPT-M (1W-2M): PRIMARY = 1D + 1W (score weights: 1W structure+CMF 40%, 1D 40%, 4H timing 20%; 1H used only to time the entry, never to exit). Mandatory gates: full Phase-2 (1W Golden Cross + 1D Golden Cross + 1W CMF > 0), Phase-3 pullback context preferred (price inside daily EMA20-EMA50 zone or first touch after breakout), no Kill on 1D or 1W, RSI-W < 72. Stop = structural: below daily swing low / EMA50D / base low (typically 2-3 x ATR). Targets: T1 = prior high or measured move, T2 = weekly extension level. TIME-STOP: formal thesis reassessment at x/2; hard review at every earnings date and scheduled macro event (CPI/FOMC/PPI) inside the window with pre-event trim rule; exit if 1D CMF negative 3 consecutive days regardless of price."
UIPT_HORIZON,Risk,Horizon-Scaled Sizing And Exits,"Risk per trade: UIPT-S = 0.25-0.5% of portfolio equity (fast cycle, more shots); UIPT-M = 0.5-1.0%. Max concurrent: 4 S-trades and 5 M-trades. Exit style must match entry horizon: S exits on 1H distribution (2 bars IPI Distribution + RVOL > 1.2) or time-stop; M ignores 1H noise and exits on 1D CMF flip / structural stop / thesis break. NEVER manage an S trade with M rules after entry — a failed short trade does not get promoted into an investment."
UIPT_HORIZON,Output,Labeling Requirement,"Every ranked pick MUST display: horizon tag [S-xD] or [M-xW], state tag (COILED / TRIGGERING / IN-TREND / EXTENDED), sector-flow tag (IN / OUT / NEUTRAL from Layer-0 map), entry plan, stop, T1/T2 with R:R, TIME-STOP as a calendar date, and all scheduled events inside the holding window (earnings, CPI, FOMC) with the applicable pre-event trim rule. If the user's requested horizon conflicts with what the data offers (e.g. asked S-2D but only weekly bases qualify), say so explicitly and present both the requested-horizon best-effort and the better-suited alternative."
EXTENDED_SESSION_ANALYSIS,,Purpose,"ใช้ข้อมูล Premarket และ After Hours เพื่อวิเคราะห์ Sentiment, Earnings Reaction, Gap Quality และ Institutional Interest โดยไม่รบกวน Trend หลักของตลาดปกติ"
EXTENDED_SESSION_ANALYSIS,,Volume Weighting,Regular Session Volume = 80% | Extended Session Volume = 20% | EMA และ Trend Structure ใช้ข้อมูล Regular Session เท่านั้น
EXTENDED_SESSION_ANALYSIS,,Extended Volume Ratio,ExtVolumeRatio = ExtendedVolume / AverageDailyVolume
EXTENDED_SESSION_ANALYSIS,,Noise Filter,หาก ExtVolumeRatio < 5% ให้ Ignore สัญญาณจาก Premarket หรือ After Hours เนื่องจากสภาพคล่องต่ำและมีโอกาสเกิด False Signal สูง
EXTENDED_SESSION_ANALYSIS,,Significant Event Detection,"หาก ExtVolumeRatio > 15% ให้ถือว่าเป็น Significant Event ซึ่งอาจเกิดจาก Earnings, Guidance, Analyst Upgrade หรือ Institutional Activity"
EXTENDED_SESSION_ANALYSIS,,Extended Price Impact,"ExtendedScore = ExtendedPriceChange(%) × min(ExtVolumeRatio, 0.30)"
EXTENDED_SESSION_ANALYSIS,,Gap Quality Assessment,Gap ที่เกิดพร้อม Extended Volume สูง (>15% ADV) มีความน่าเชื่อถือมากกว่า Gap ที่เกิดจาก Volume ต่ำ
EXTENDED_SESSION_ANALYSIS,,Professional Interpretation,Premarket +8% พร้อม ExtVolumeRatio 20% ถือเป็น Bullish Event | Premarket +8% แต่ ExtVolumeRatio 2% ถือเป็น Weak Signal และควรรอการยืนยันจากตลาดปกติ
EXTENDED_SESSION_ANALYSIS,,Best Practice,ใช้ Extended Session เป็นตัวช่วยยืนยันข่าวและแรงซื้อขายเท่านั้น ไม่ควรใช้แทนแนวโน้มหลัก และไม่ควรนำ Extended Session มาใช้คำนวณ EMA หลักโดยตรง
DXY_USDTHB,Method,Read Without Volume,"DXY & USDTHB have zero volume — CMF/RVOL/IPI unusable. Read via price structure only: EMA stack 1D+1W (GC/DC = structural bull/bear), EMA200W = regime line (above = strong-dollar/weak-THB regime), Weekly RSI >55 hawkish / <45 dovish, and cross-confirm with US10Y (+corr), XAUUSD (−corr), HYG (DXY up + HYG down = risk-off)."
DXY_USDTHB,Impact,Direction Playbook,"DXY UP hurts Gold/commodities/EM/multinationals/duration (XBI XLU XLRE growth) and helps IWM-domestic, USD cash, financials; DXY DOWN = reverse (Gold, miners FCX/COPX, EM, exporters, Nasdaq win). DXY up+yields flat = safe-haven: Gold & ITA & cash win. DXY stuck AT EMA200W (undecided) = position for both, don't overcommit either side."
DXY_USDTHB,Tripwires,Action Triggers,"RISK-OFF: DXY weekly close >101.8 OR US10Y >4.55% OR WTI >72 (same signal, 3 screens) → halt new longs, halve speculative positions, raise cash, accelerate THB→USD. RISK-ON: DXY weekly close <100.0 + yields falling → add Gold/XBI/XLU/duration, deploy more cash, slow THB conversion (THB recovering)."
DXY_USDTHB,THB Rules,Cash Conversion,Never convert all THB at once — 3-4 tranches. Convert EARLY whatever will be deployed within 2-4 weeks (waiting in an uptrending USDTHB = guaranteed purchasing-power loss). Set conversion orders on dips to EMA20D or round levels (33.00/32.50). Report every summary: THB held × rate change = USD purchasing power gained/lost.
DXY_USDTHB,Output,Mandatory Sections,"Every Core Radar/portfolio output MUST include: [DXY STRUCTURE] = price vs EMA20/50/200 (1D+1W), which trigger is closer (breakout >101.8 vs rejection <100.0), cross-asset agree/diverge, portfolio implication. [THB CASH] = current rate+trend, USD equivalent of THB held, purchasing-power change since last report, convert now/partial/wait, next level to watch."
LATEST_FINANCIAL_NEWS,,Source,"Published Date, Title, Link"
LATEST_FINANCIAL_NEWS,,Investing.com,"2026-07-08 19:06:59, Fed minutes show high uncertainty and evenly divided debate over rate outlook, https://www.investing.com/news/economy-news/fed-minutes-show-high-uncertainty-and-debate-over-monetary-policy-outlook-4782167"
LATEST_FINANCIAL_NEWS,,Investing.com,"2026-07-08 19:00:54, Ireland’s Manna begins push into U.S. drone delivery ""battleground"", https://www.investing.com/news/economy-news/irelands-manna-begins-push-into-us-drone-delivery-battleground-4782206"
LATEST_FINANCIAL_NEWS,,Investing.com,"2026-07-08 18:30:32, Fed policymakers’ inflation concerns mounted at June meeting, minutes show, https://www.investing.com/news/economy-news/fed-policymakers-saw-inflation-concerns-mounting-at-june-meeting-minutes-show-4782177"
LATEST_FINANCIAL_NEWS,,Investing.com,"2026-07-08 18:13:09, Factbox-Major AI offerings at a glance, https://www.investing.com/news/economy-news/factboxmajor-ai-models-at-a-glance-4781880"
LATEST_FINANCIAL_NEWS,,Investing.com,"2026-07-08 18:12:37, Swiss official sees good chance 15% US tariff rate maintained, https://www.investing.com/news/economy-news/swiss-official-sees-good-chance-15-us-tariff-rate-maintained-4782182"
LATEST_FINANCIAL_NEWS,,NYT Business (US),"Wed, 08 Jul 2026 19:34:27 +0000, At Warsh’s First Fed Meeting, Some Officials Signaled Support for Raising Interest Rates, https://www.nytimes.com/2026/07/08/business/fed-meeting-minutes-warsh-interest-rates.html"
LATEST_FINANCIAL_NEWS,,NYT Business (US),"Wed, 08 Jul 2026 17:26:49 +0000, William D. Zabel, High-Flying Lawyer and Civil Rights Champion, Dies at 89, https://www.nytimes.com/2026/07/08/business/william-zabel-dead.html"
LATEST_FINANCIAL_NEWS,,NYT Business (US),"Wed, 08 Jul 2026 18:45:17 +0000, Oil Market Calm Shattered by Fresh Hostilities Between US and Iran, https://www.nytimes.com/2026/07/08/business/energy-environment/iran-war-oil-prices.html"
LATEST_FINANCIAL_NEWS,,NYT Business (US),"Wed, 08 Jul 2026 15:52:53 +0000, Air Canada Chooses Anko van der Werff, Who Speaks French, as CEO After Language Backlash, https://www.nytimes.com/2026/07/08/world/canada/air-canada-ceo-french-backlash-crash.html"
LATEST_FINANCIAL_NEWS,,NYT Business (US),"Wed, 08 Jul 2026 18:36:58 +0000, In San Francisco, Some Home Sellers Now Ask for OpenAI or Anthropic Stock, https://www.nytimes.com/2026/07/08/technology/san-francisco-home-sales-openai-anthropic-ipo.html"
LATEST_FINANCIAL_NEWS,,SCMP China News (China),"Wed, 08 Jul 2026 15:00:17 +0000, China’s Xi Jinping calls for innovation system overhaul to beat global tech rivals, https://www.scmp.com/news/china/politics/article/3359886/chinas-xi-jinping-calls-innovation-system-overhaul-beat-global-tech-rivals?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP China News (China),"Wed, 08 Jul 2026 15:00:13 +0000, Why lithium battery and radar pioneers won China’s top science award, https://www.scmp.com/news/china/science/article/3359870/why-lithium-battery-and-radar-pioneers-won-chinas-top-science-award?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP China News (China),"Wed, 08 Jul 2026 12:16:45 +0000, Beijing slams Manila over South China Sea claims ahead of 2016 Hague anniversary, https://www.scmp.com/news/china/diplomacy/article/3359877/beijing-slams-manila-over-south-china-sea-claims-ahead-2016-hague-anniversary?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP China News (China),"Wed, 08 Jul 2026 12:16:35 +0000, China eyes Russian submarine rescue expertise in Yellow Sea naval drills, https://www.scmp.com/news/china/military/article/3359880/china-eyes-russian-naval-expertise-yellow-sea-submarine-rescue-drills?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP China News (China),"Wed, 08 Jul 2026 12:00:07 +0000, Chinese profit-taking triggers record gold ETF outflows amid shift to equities, https://www.scmp.com/business/commodities/article/3359828/chinese-profit-taking-triggers-record-gold-etf-outflows-amid-shift-equities?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP Business (China),"Wed, 08 Jul 2026 14:00:07 +0000, China’s circuit-board makers push capex towards record to feed AI boom, https://www.scmp.com/tech/tech-trends/article/3359851/chinas-circuit-board-makers-push-capex-towards-record-feed-ai-boom?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP Business (China),"Wed, 08 Jul 2026 13:00:07 +0000, Beijing seeks chip stability and fair market access during Dutch trade minister’s trip, https://www.scmp.com/economy/global-economy/article/3359872/beijing-seeks-chip-stability-and-fair-market-access-during-dutch-trade-ministers-trip?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP Business (China),"Wed, 08 Jul 2026 12:00:07 +0000, Chinese profit-taking triggers record gold ETF outflows amid shift to equities, https://www.scmp.com/business/commodities/article/3359828/chinese-profit-taking-triggers-record-gold-etf-outflows-amid-shift-equities?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP Business (China),"Wed, 08 Jul 2026 10:00:42 +0000, Hong Kong IPO debut delayed in rare move over missing regulatory data: sources, https://www.scmp.com/business/markets/article/3359860/hong-kong-ipo-debut-delayed-rare-move-over-missing-regulatory-data?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,SCMP Business (China),"Wed, 08 Jul 2026 09:11:30 +0000, China further boosts Hong Kong’s role as offshore yuan hub, https://www.scmp.com/plus/business/banking-finance/article/3359848/china-further-boosts-hong-kongs-role-offshore-yuan-hub?utm_source=rss_feed"
LATEST_FINANCIAL_NEWS,,ET Economy (India),"Thu, 09 Jul 2026 01:01:51 +0530, Rainfall deficit narrows to 24%, to boost Kharif sowing in July, https://economictimes.indiatimes.com/news/economy/agriculture/rainfall-deficit-narrows-to-24-to-boost-kharif-sowing-in-july/articleshow/132272078.cms"
LATEST_FINANCIAL_NEWS,,ET Economy (India),"Thu, 09 Jul 2026 00:58:38 +0530, CBDT exempts NCCL settlement fund from tax, https://economictimes.indiatimes.com/news/economy/policy/cbdt-exempts-nccl-settlement-fund-from-tax/articleshow/132272091.cms"
LATEST_FINANCIAL_NEWS,,ET Economy (India),"Thu, 09 Jul 2026 00:07:37 +0530, Indian transformer makers shrug off re-entry of China; Capacity ramp-up and strong demand offset competition, https://economictimes.indiatimes.com/news/economy/foreign-trade/indian-transformer-makers-shrug-off-re-entry-of-china-capacity-ramp-up-and-strong-demand-offset-competition/articleshow/132271127.cms"
LATEST_FINANCIAL_NEWS,,ET Economy (India),"Wed, 08 Jul 2026 23:09:05 +0530, Govt seeks proposals for coal gasification projects under Rs 37,500-cr incentive scheme, https://economictimes.indiatimes.com/news/economy/policy/govt-seeks-proposals-for-coal-gasification-projects-under-rs-37500-cr-incentive-scheme/articleshow/132269841.cms"
LATEST_FINANCIAL_NEWS,,ET Economy (India),"Wed, 08 Jul 2026 20:58:28 +0530, Centre approves procurement of copra, Totapuri mangoes from Tamil Nadu farmers, https://economictimes.indiatimes.com/news/economy/agriculture/centre-approves-procurement-of-copra-totapuri-mangoes-from-tamil-nadu-farmers/articleshow/132267125.cms"
LATEST_FINANCIAL_NEWS,,The Hindu (India),"Thu, 09 Jul 2026 01:00:00 +0530, A total of 139 entries receive awards in The Hindu Margazhi Competition 2025, https://www.thehindu.com/news/cities/chennai/a-total-of-139-entries-receive-awards-in-the-hindumargazhi-competition-2025/article71195512.ece"
LATEST_FINANCIAL_NEWS,,The Hindu (India),"Thu, 09 Jul 2026 00:58:49 +0530, Gas leak: unit sealed by RDO after removal of ammonia, https://www.thehindu.com/news/cities/chennai/gas-leak-unit-sealed-by-rdo-after-removal-of-ammonia/article71199150.ece"
LATEST_FINANCIAL_NEWS,,The Hindu (India),"Thu, 09 Jul 2026 00:58:01 +0530, Two persons arrested for selling arrack in Tirupattur, https://www.thehindu.com/news/national/tamil-nadu/two-persons-arrested-for-selling-arrack-in-tirupattur/article71198677.ece"
LATEST_FINANCIAL_NEWS,,The Hindu (India),"Thu, 09 Jul 2026 00:56:51 +0530, Tasmac outlet in Ranipet burgled, https://www.thehindu.com/news/national/tamil-nadu/tasmac-outlet-in-ranipet-burgled/article71198685.ece"
